================================================================================
TRAINING LOG
================================================================================
Start Time: 2026-02-09 20:09:31

CONFIGURATION:
--------------------------------------------------------------------------------
image_size               : 256
batch_size               : 4
num_epochs               : 100
lr_g                     : 0.0002
lr_d                     : 0.0002
beta1                    : 0.5
beta2                    : 0.999
lambda_contrastive       : 1.0
lambda_identity          : 5.0
lambda_saturation        : 2.0
target_saturation        : 0.7
temperature              : 0.07
save_interval            : 10
checkpoint_dir           : checkpoints_5
sample_dir               : samples_5

MODEL ARCHITECTURE:
--------------------------------------------------------------------------------
Generator parameters:     5,846,723
Discriminator parameters: 433,267

LOSS FUNCTIONS:
--------------------------------------------------------------------------------
- GAN Loss: MSE (LSGAN)
- Contrastive Loss: InfoNCE
- Identity Loss: L1
- Saturation Loss: DISABLED (commented out)

================================================================================
EPOCH RESULTS:
================================================================================
 Epoch |   D_loss |   G_loss |      GAN | Contrast
--------------------------------------------------------------------------------
     1 |   0.2122 |   3.5013 |   0.4325 |   1.5204
     2 |   0.1775 |   3.5137 |   0.5325 |   1.5262
     3 |   0.1777 |   3.4695 |   0.5262 |   1.5393
     4 |   0.1766 |   3.4660 |   0.5284 |   1.5669
     5 |   0.1708 |   3.4346 |   0.5419 |   1.5674
     6 |   0.1646 |   3.4282 |   0.5653 |   1.5784
     7 |   0.1576 |   3.4137 |   0.5800 |   1.5789
     8 |   0.1607 |   3.4162 |   0.5793 |   1.5805
     9 |   0.1611 |   3.3807 |   0.5624 |   1.5902
    10 |   0.1676 |   3.3645 |   0.5530 |   1.5871
    11 |   0.1657 |   3.3705 |   0.5564 |   1.5880
    12 |   0.1646 |   3.3803 |   0.5637 |   1.5905
    13 |   0.1654 |   3.3620 |   0.5549 |   1.5947
    14 |   0.1607 |   3.3896 |   0.5820 |   1.6004
    15 |   0.1509 |   3.4127 |   0.6167 |   1.5976
    16 |   0.1455 |   3.4445 |   0.6529 |   1.5923
    17 |   0.1402 |   3.5003 |   0.6878 |   1.6010
    18 |   0.1350 |   3.5109 |   0.7099 |   1.5925
    19 |   0.1300 |   3.5611 |   0.7344 |   1.6017
    20 |   0.1192 |   3.6282 |   0.7759 |   1.6047
    21 |   0.1227 |   3.5621 |   0.7468 |   1.6012
    22 |   0.1210 |   3.5879 |   0.7647 |   1.5949
    23 |   0.1170 |   3.5956 |   0.7655 |   1.5988
    24 |   0.1170 |   3.6064 |   0.7801 |   1.5981
    25 |   0.1186 |   3.6104 |   0.7773 |   1.6030
    26 |   0.1081 |   3.6500 |   0.8134 |   1.5944
    27 |   0.1090 |   3.6510 |   0.8153 |   1.5953
    28 |   0.1133 |   3.6161 |   0.7954 |   1.6020
    29 |   0.1078 |   3.6464 |   0.8144 |   1.6051
    30 |   0.1011 |   3.6758 |   0.8376 |   1.6092
    31 |   0.1029 |   3.6447 |   0.8292 |   1.5977
    32 |   0.0977 |   3.6897 |   0.8581 |   1.5970
    33 |   0.0992 |   3.6779 |   0.8437 |   1.6094
    34 |   0.0956 |   3.6795 |   0.8591 |   1.5987
    35 |   0.0936 |   3.7122 |   0.8669 |   1.6083
    36 |   0.0824 |   3.7545 |   0.9106 |   1.5975
    37 |   0.0804 |   3.7566 |   0.9005 |   1.5905
    38 |   0.0776 |   3.7588 |   0.9109 |   1.6059
    39 |   0.0747 |   3.7569 |   0.9290 |   1.6016
    40 |   0.0747 |   3.7907 |   0.9445 |   1.5916
    41 |   0.0708 |   3.7648 |   0.9299 |   1.6005
    42 |   0.0733 |   3.7574 |   0.9378 |   1.5753
    43 |   0.0684 |   3.7971 |   0.9527 |   1.5923
    44 |   0.0682 |   3.7665 |   0.9444 |   1.5867
    45 |   0.0631 |   3.7510 |   0.9505 |   1.5783
    46 |   0.0553 |   3.7574 |   0.9603 |   1.5781
    47 |   0.0585 |   3.7574 |   0.9663 |   1.5778
    48 |   0.0629 |   3.8126 |   0.9823 |   1.5893
    49 |   0.0614 |   3.8136 |   0.9776 |   1.5784
    50 |   0.0558 |   3.7754 |   0.9718 |   1.5745
    51 |   0.0554 |   3.7662 |   0.9632 |   1.5840
    52 |   0.0560 |   3.7849 |   0.9748 |   1.5748
    53 |   0.0574 |   3.7918 |   0.9727 |   1.5762
    54 |   0.0502 |   3.7882 |   0.9858 |   1.5690
    55 |   0.0561 |   3.8048 |   0.9911 |   1.5777
    56 |   0.0566 |   3.7539 |   0.9770 |   1.5622
    57 |   0.0589 |   3.7866 |   0.9761 |   1.5763
    58 |   0.0544 |   3.7323 |   0.9687 |   1.5615
    59 |   0.0502 |   3.7471 |   0.9779 |   1.5661
    60 |   0.0432 |   3.7828 |   0.9975 |   1.5694
    61 |   0.0487 |   3.7522 |   0.9871 |   1.5663
    62 |   0.0439 |   3.7708 |   1.0051 |   1.5397
    63 |   0.0485 |   3.7530 |   0.9816 |   1.5686
    64 |   0.0478 |   3.7513 |   0.9917 |   1.5615
    65 |   0.0497 |   3.7300 |   0.9782 |   1.5616
    66 |   0.0433 |   3.7522 |   0.9930 |   1.5511
    67 |   0.0524 |   3.7390 |   0.9851 |   1.5582
    68 |   0.0513 |   3.7322 |   0.9797 |   1.5642
    69 |   0.0454 |   3.7705 |   1.0004 |   1.5536
    70 |   0.0492 |   3.7439 |   0.9906 |   1.5386
    71 |   0.0514 |   3.7365 |   0.9885 |   1.5512
    72 |   0.0417 |   3.7370 |   1.0004 |   1.5495
    73 |   0.0469 |   3.7221 |   0.9891 |   1.5406
    74 |   0.0483 |   3.7238 |   0.9897 |   1.5283
    75 |   0.0464 |   3.7325 |   0.9901 |   1.5393
    76 |   0.0494 |   3.7263 |   0.9865 |   1.5325
    77 |   0.0489 |   3.7566 |   0.9979 |   1.5462
    78 |   0.0442 |   3.7601 |   0.9947 |   1.5461
    79 |   0.0452 |   3.7390 |   0.9905 |   1.5362
    80 |   0.0432 |   3.7414 |   0.9996 |   1.5296
    81 |   0.0451 |   3.7149 |   0.9959 |   1.5102
    82 |   0.0446 |   3.7506 |   1.0092 |   1.5143
    83 |   0.0482 |   3.7174 |   0.9910 |   1.5134
    84 |   0.0451 |   3.7369 |   0.9956 |   1.5304
    85 |   0.0389 |   3.7487 |   1.0074 |   1.5117
    86 |   0.0428 |   3.7101 |   0.9979 |   1.5142
    87 |   0.0381 |   3.7093 |   1.0060 |   1.5144
    88 |   0.0442 |   3.7082 |   0.9981 |   1.5115
    89 |   0.0407 |   3.7364 |   1.0084 |   1.4971
    90 |   0.0448 |   3.7269 |   1.0012 |   1.5048
    91 |   0.0428 |   3.6955 |   0.9956 |   1.4991
    92 |   0.0446 |   3.7132 |   1.0054 |   1.4862
    93 |   0.0373 |   3.6744 |   0.9978 |   1.4799
    94 |   0.0400 |   3.6696 |   0.9997 |   1.4812
    95 |   0.0410 |   3.6812 |   1.0001 |   1.4948
    96 |   0.0414 |   3.6969 |   1.0127 |   1.4709
    97 |   0.0421 |   3.6621 |   1.0038 |   1.4643
    98 |   0.0374 |   3.6699 |   0.9951 |   1.4734
    99 |   0.0392 |   3.7111 |   1.0176 |   1.4794
   100 |   0.0368 |   3.6344 |   0.9990 |   1.4672

================================================================================
Training completed at: 2026-02-10 00:17:55
================================================================================
